country,year,local_price,dollar_price,hourly_wage_usd,bigmacs_per_hour
Hungary,2007,590.0,3.04,3.55734397417983,1.1701789388749442
Japan,2007,280.0,2.31,6.56952612729612,2.843950704457195
Mexico,2007,29.0,2.9,1.00094750700989,0.34515431276203107
New Zealand,2007,4.6,4.6,9.74711597274464,2.118938254944487
Poland,2007,6.9,3.45,4.11975221761432,1.194131077569368
United States,2007,2.89,2.89,7.70655551665941,2.666628206456543
Australia,2007,3.45,3.45,12.7923090889982,3.7079156779704925
Brazil,2007,6.9,6.9,1.64042477678596,0.23774272127332755
Canada,2007,3.88,3.88,8.11209182193296,2.0907453149311754
Chile,2007,1565.0,2.98,2.47930238948475,0.8319806676123321
Colombia,2007,6900.0,3.53,2.42780016103093,0.6877620852778839
Costa Rica,2007,1130.0,2.18,3.13250839895932,1.43693045823822
Hungary,2007,600.0,3.33,3.55734397417983,1.0682714637176667
Japan,2007,280.0,2.3,6.56952612729612,2.8563157075200523
Mexico,2007,29.0,2.9,1.00094750700989,0.34515431276203107
New Zealand,2007,4.6,4.6,9.74711597274464,2.118938254944487
Poland,2007,6.9,3.45,4.11975221761432,1.194131077569368
United States,2007,3.0,3.0,7.70655551665941,2.56885183888647
Australia,2008,3.45,3.45,12.5668389713428,3.6425620206790725
Brazil,2008,7.5,7.5,1.70507412150131,0.22734321620017467
Canada,2008,4.09,4.09,8.43974682852076,2.063507782034416
Chile,2008,1550.0,3.14,2.4766998989928,0.7887579296155415
Colombia,2008,7000.0,3.89,2.41448268163583,0.6206896353819614
Costa Rica,2008,1800.0,3.27,3.19568817679326,0.9772746718022202
Hungary,2008,670.0,4.65,3.53460558740127,0.7601302338497354
Japan,2008,280.0,2.64,6.61888654301084,2.507153993564712
Mexico,2008,32.0,3.2,0.990329494712024,0.30947796709750747
New Zealand,2008,4.9,4.9,10.0663374607025,2.054354583816836
Poland,2008,7.0,3.5,4.75786304566322,1.359389441618063
United States,2008,3.21,3.21,8.37312286976073,2.608449492137299
Australia,2009,4.34,4.34,12.7306821724032,2.933336906083687
Brazil,2009,8.03,8.03,1.83088452406012,0.2280055447148344
Canada,2009,3.89,3.89,8.93856780931897,2.2978323417272417
Chile,2009,1750.0,3.19,2.63903533922284,0.8272838053990094
Colombia,2009,7000.0,3.34,2.49484271612733,0.7469588970441109
Costa Rica,2009,2000.0,3.44,3.23433105283547,0.9402125153591482
Hungary,2009,720.0,3.62,3.51425595613356,0.9707889381584419
Israel,2009,15.0,5.0,5.89102761910348,1.1782055238206959
Japan,2009,320.0,3.48,6.85114661168871,1.9687202907151466
Mexico,2009,33.0,2.54,0.983980951670285,0.3873940754607421
New Zealand,2009,4.9,4.9,10.333558474261,2.1088894845430612
Poland,2009,7.6,2.53,5.19452864432759,2.0531733772045815
United States,2009,3.43,3.43,9.35788571823661,2.7282465650835594
Australia,2010,4.35,4.35,12.6722356279628,2.9131576156236325
Brazil,2010,8.2,8.2,1.92902472960634,0.23524691824467564
Canada,2010,4.12,4.12,9.25777950655998,2.247033860815529
Chile,2010,1600.0,3.18,2.70673831419889,0.8511755705027956
Colombia,2010,8200.0,3.91,2.52827694003016,0.6466181432302199
Costa Rica,2010,2050.0,3.52,3.34915773377278,0.9514652652763579
Hungary,2010,720.0,3.87,3.44563285613857,0.8903444072709483
Israel,2010,14.9,4.97,5.73663358027786,1.154252229432165
Japan,2010,320.0,3.52,7.00929548112126,1.9912771253185397
Mexico,2010,32.0,2.67,0.990535437861189,0.3709870553787225
New Zealand,2010,4.9,4.9,10.353963868769,2.1130538507691834
Poland,2010,8.1,4.05,5.22655607655243,1.2905076732228222
United States,2010,3.43,3.43,9.73031244721333,2.8368257863595714
Australia,2010,4.35,4.35,12.6722356279628,2.9131576156236325
Brazil,2010,8.71,8.71,1.92902472960634,0.22147241442093454
Canada,2010,4.17,4.17,9.25777950655998,2.2200910087673815
Chile,2010,1750.0,3.35,2.70673831419889,0.8079815863280269
Colombia,2010,8200.0,4.39,2.52827694003016,0.5759172984123372
Costa Rica,2010,2000.0,3.83,3.34915773377278,0.8744537163897598
Hungary,2010,740.0,3.35,3.44563285613857,1.028547121235394
Israel,2010,14.9,4.97,5.73663358027786,1.154252229432165
Japan,2010,320.0,3.68,7.00929548112126,1.9046998590003423
Mexico,2010,32.0,2.67,0.990535437861189,0.3709870553787225
New Zealand,2010,5.0,5.0,10.353963868769,2.0707927737538
Poland,2010,8.3,2.77,5.22655607655243,1.8868433489358951
United States,2010,3.53,3.53,9.73031244721333,2.756462449635505
Australia,2011,4.56,4.56,12.7690119925453,2.800221928189759
Belgium,2011,3.75,3.75,12.8457121283962,3.4255232342389865
Brazil,2011,9.5,9.5,1.93016251551762,0.2031750016334337
Canada,2011,4.73,4.73,9.28444498018519,1.9628847738235073
Chile,2011,1850.0,4.0,2.75135139075571,0.6878378476889275
Colombia,2011,8400.0,4.75,2.54257816240417,0.53527961313772
Costa Rica,2011,2050.0,4.07,3.39206963650292,0.8334323431211105
Estonia,2011,2.2,2.2,3.71175418049688,1.6871609911349454
France,2011,3.5,3.5,13.3025925020392,3.800740714868343
Greece,2011,3.26,3.26,7.17305984050961,2.2003251044508008
Hungary,2011,760.0,4.04,3.51830673748984,0.8708680043291682
Ireland,2011,3.8,3.8,9.46859204829363,2.491734749550955
Israel,2011,15.9,5.3,5.73894081018548,1.0828190207897133
Japan,2011,320.0,4.1,7.17116640607461,1.7490649770913684
Mexico,2011,32.0,2.91,0.997228935826954,0.3426903559542797
Netherlands,2011,3.25,3.25,12.7287907229721,3.916550991683723
New Zealand,2011,5.1,5.1,10.1491449765108,1.9900284267668238
Poland,2011,8.63,4.32,5.27668489637309,1.2214548371234004
Portugal,2011,2.9,2.9,5.91675506367819,2.0402603667855828
Spain,2011,3.5,3.5,8.73011423618818,2.494318353196623
United States,2011,3.64,3.64,9.43254203914388,2.591357703061506
Australia,2012,4.8,4.8,12.9425104967098,2.6963563534812085
Belgium,2012,3.7,3.7,12.7409345526967,3.443495825053162
Brazil,2012,10.25,10.25,2.09313528093237,0.20420832009096293
Canada,2012,4.73,4.73,9.45858245962312,1.9997003085883973
Chile,2012,2050.0,4.05,2.82947223374187,0.6986351194424371
Colombia,2012,8400.0,4.54,2.60757291950324,0.5743552686130484
Costa Rica,2012,2050.0,4.03,3.44950968960996,0.8559577393573101
Estonia,2012,2.04,2.04,3.71578411805547,1.8214628029683677
France,2012,3.6,3.6,13.4671075887806,3.740863219105722
Greece,2012,3.3,3.3,5.74308880790755,1.7403299417901668
Hungary,2012,645.0,2.63,3.96994658144453,1.509485392184232
Ireland,2012,3.8,3.8,9.31066373458679,2.450174666996524
Israel,2012,15.9,5.3,5.87593514292623,1.1086670080992886
Japan,2012,320.0,4.21,7.25393477564584,1.7230248873268028
Mexico,2012,37.0,2.85,0.998793861438613,0.3504539864696888
Netherlands,2012,3.25,3.25,12.6823658146715,3.902266404514308
New Zealand,2012,5.1,5.1,10.3841834682551,2.036114405540216
Poland,2012,9.1,3.03,5.51436602258494,1.8199227797310034
Portugal,2012,2.9,2.9,5.75709142828483,1.9852039407878723
Spain,2012,3.5,3.5,8.52166345536709,2.43476098724774
United States,2012,3.81,3.81,9.24130820466712,2.425540211198719
Australia,2012,4.56,4.56,12.9425104967098,2.8382698457696933
Belgium,2012,3.8,3.8,12.7409345526967,3.352877513867553
Brazil,2012,10.08,5.04,2.09313528093237,0.4153046192326131
